PA2WJZ Wim
PA3CWG Ron
PA3FYG Hans
PA4UNX Rudi
PA5KM Coen
PA7CG Geert
PA7MDJ Michael
PA7PYR Rien
PA7RA Rien
PA7ZEE Geert
PA9CW Tonnie
PA9M Marcel
PB2T Hans
PC2D Frank
PE1RMO Jan
PE4A Peter
PE4WJ Wouter Jan
RA6YJ Vlad
RK3BY/5 Serge
RK3BY Serge
RM8G Yuri
RN6K Serge
RV9DC Sergei
S50A Tine
S51WO Sam
S51ZG Janez
S51ZJ Sergei
S52CU Mirko
S52WO Milos
S53X Milos
S56IHX Marian
S56LXN Bojan
S57AJJ Jurij
S57AX Darko
S57MS Marko
S58MU Milan
S59ZZ Rado
SA4BLM Lars
SM0GNS Peder
SM1CXE Roland
SM1TDE Eric
SM6CMU Ingo
SM6CUK Lars
SM6UNC Andreas
SM7DIE Tore
SM7GUY Ingvar
SP2AEK Roman
SP3GVX Marek
SP4NKU Jurek
SP8RHP Robert
SP9AMH Mariusz
SP9MA Jarek
SQ9HT Tom
SQ9OJN Bartek
SV2HWH Kostas
SV2OXS Christos
SV3IEG Dinos
UA6HGY Oleg
UU4JIM Serge
VE1WT Phill
VE2JCW Jean
YO2BP Zoli
YO2LIW Ade
YO3JW Pit
YO6HDF Adrian
YO6PIB Csaba
YO6PSX Silviu
YO8SEP Petronel
YO9GSB Dan
YO9IPF Florin
YO9IRF Razvan
YP2MSB Sorin
YT1CS Miki
YU1AB Toma
YU1EA Dusan
YU1WC Fric
